File,Title
20131128_1_xls-data.xls,Fortsetzung der Beteiligung bewaffneter deutscher Streitkräfte (UNMISS) (Drs. 18/71)
20131128_2_xls-data.xls,Fortsetzung der Beteiligung bewaffneter deutscher Streitkräfte (UNAMID) (Drs. 18/72)
20140129_1_xls-data.xls,Fortsetzung der Entsendung bewaffneter deutscher Streitkräfte zur Verstärkung der integrierten Luftverteidigung der NATO (Drucksachen 18/262 und 18/347)
20140129_2_xls-data.xls,Fortsetzung der Beteiligung bewaffneter deutscher Streitkräfte an der NATO geführten Operation Active Endeavour im gesamten Mittelmeer (Drucksachen 18/263 und 18/348)
20140130_1_xls-data.xls,Gentechnisch veränderte Maislinie 1507 für den Anbau in der EU (Drucksachen 18/180 und 18/397)
20140220_1_xls-data.xls,Bundeswehreinsatz in Afghanistan (ISAF) (Drucksachen 18/436 und 18/602)
20140220_2_xls-data.xls,Militärische Ausbildungsmission in Mali (Drucksachen 18/437 und 18/603)
20140221_1_xls-data.xls,Änderung des Abgeordnetengesetzes (Drucksachen 18/477 und 18/619)
20140221_2_xls-data.xls,Erweiterung des Straftatbestandes der Abgeordnetenbestechung (Drucksachen 18/476 und 18/607)
20140313_1_xls-data.xls,EU-Honigrichtlinie (Kennzeichnung von Gen-Honig) (Drucksachen 18/578 und 18/792)
20140403_1_xls-data.xls,Beschlussempfehlung des Auswärtigen Ausschusses (3. Ausschuss) zu dem Antrag der Bundesregierung
20140403_2_xls-data.xls,"Beschlussempfehlung des Ausschusses für Wahlprüfung , Immunität und Geschäftsordnung (1. Ausschuss) zu dem Antrag der Fraktionen der CDU/CSU und SPD"
20140403_3_xls-data.xls,"Gesetzentwurf der Fraktion Die Linke: Änderung des Grundgesetzes (Artikel 23, 39, 44, 45a, 93)"
20140409_xls-data.xls,Beteiligung bewaffneter deutscher Streitkräfte am maritimen Begleitschutz der VN/OVCW-Mission zur Vernichtung der syrischen Chemiewaffen (Drucksachen 18/984 und 18/1067)
20140410_xls-data.xls,Entsendung bewaffneter deutscher Streitkräfte zur Beteiligung an der Europäischen Überbrückungsmission in der Zentralafrikanischen Republik ... (Drucksachen 18/1081 und 18/1095)
20140508_3_xls-data.xls,Echte Transparenz und parlamentarische Beteiligung bei Rüstungsexportentscheidungen herstellen (Drucksache 18/1360)
20140508_2_xls-data.xls,"Gesetzentwurf eines Ersten Gesetzes zur Änderung des Arbeitnehmer-Entsendegesetzes (Drucksachen 18/910, 18/1283 und 18/1359)"
20140508_1_xls-data.xls,Kündigung bilateraler Kooperationen im Bereich der Nutzung atomarer Technologien (Drucksache 18/1336)
20140522_1_xls-data.xls,Fortsetzung der Beteiligung bewaffneter deutscher Streitkräfte an der EU-geführten Operation Atalanta zur Bekämpfung der Piraterie vor der Küste Somalias (Drucksachen 18/1282 und 18/1486)
20140522_2_xls-data.xls,"Entwurf eines Gesetzes zur Umsetzung der Entscheidung des Bundesverfassungsgerichts zur Sukzessivadoption durch Lebenspartner (Drucksachen 18/1285, 18/1488 und 18/1494)"
20140522_3_xls-data.xls,Vorbehalte der Bevölkerung gegenüber der Argo-Gentechnik anerkennen - Gentechnikfreiheit im Pflanzenbau dauerhaft sichern (Drucksache 18/1453)
20140522_4_xls-data.xls,"Grüne Gentechnik - Sorgen und Vorbehalte der Menschen ernst nehmen, Selbstbestimmung stärken, Wahlfreiheit ermöglichen (Drucksache 18/1450)"
20140523_1_xls-data.xls,"Änderungsantrag 1 zum Entwurf eines Gesetzes über Leistungsverbesserungen in der gesetzlichen Rentenversicherung (Drucksachen 18/909, 18/1489 und 18/1495)"
20140523_2_xls-data.xls,"Änderungsantrag 2 zum Entwurf eines Gesetzes über Leistungsverbesserungen in der gesetzlichen Rentenversicherung (Drucksachen 18/909, 18/1489 und 18/1496)"
20140523_3_xls-data.xls,"Änderungsantrag 3 zum Entwurf eines Gesetzes über Leistungsverbesserungen in der gesetzlichen Rentenversicherung (Drucksachen 18/909, 18/1489 und 18/1497)"
20140523_4_xls-data.xls,Entwurf eines Gesetzes über Leistungsverbesserungen in der gesetzlichen Rentenversicherung (Drucksachen 18/909 und 18/1489)
20140605_1_xls-data.xls,Fortsetzung der deutschen Beteiligung an der internationalen Sicherheitspräsenz in Kosovo (Drucksachen 18/1415 und 18/1653)
20140625_1_xls-data.xls,Einzelplan 04 - Geschäftsbereich der Bundeskanzlerin und des Bundeskanzleramtes
20140625_2_xls-data.xls,Bundeswehreinsatz in Mali (MINUSMA)
20140625_3_xls-data.xls,Bundeswehreinsatz in Libanon (UNIFIL)
20140625_4_xls-data.xls,Haushalt Wirtschaftliche Zusammenarbeit und Entwicklung
20140627_1_xls-data.xls,Reform des Erneuerbare-Energien-Gesetzes / Änderungsantrag DIE LINKE.
20140627_2_xls-data.xls,Reform des Erneuerbare-Energien-Gesetzes / Änderungsantrag DIE LINKE.
20140627_3_xls-data.xls,Reform des Erneuerbare-Energien-Gesetzes undÄnderung weiterer Bestimmungen des Energiewirtschaftsrechts
20140627_4_xls-data.xls,Entschließungsantrag Die Linke zur grundlegenden Reform des Erneuerbare-Energien-Gesetzes
20140627_5_xls-data.xls,Gesetzentwurf der Bundesregierungzur Einführung einer Länderöffnungsklausel
20140627_6_xls-data.xls,Entschließungsantrag Die Linke zurEinführung einer Länderöffnungsklausel
20140627_7_xls-data.xls,Haushaltsgesetz 2014
